team,Model Ranking,rating,gp,wins,losses,otl,pts,pts_perc,League Rank,Dom_ranking,Dom_points
Colorado Avalanche,3,1.053576,52,38,10,4,80,0.77,1,1,121
Carolina Hurricanes,2,1.09472,51,36,11,4,76,0.75,2,5,112
Florida Panthers,1,1.144982,52,35,12,5,75,0.72,3,2,117
Tampa Bay Lightning,8,0.630292,50,33,11,6,72,0.72,4,3,117
New York Rangers,9,0.510972,51,33,13,5,71,0.7,5,10,105
Toronto Maple Leafs,6,0.790059,51,33,14,4,70,0.69,6,4,112
St. Louis Blues,5,0.795003,51,31,14,6,68,0.67,7,11,105
Calgary Flames,4,0.968396,50,30,14,6,66,0.66,8,7,106
Minnesota Wild,7,0.742685,49,31,15,3,65,0.66,9,6,107
Pittsburgh Penguins,10,0.381201,53,31,14,8,70,0.66,10,8,106
Boston Bruins,16,0.07798,51,30,17,4,64,0.63,11,9,105
Nashville Predators,13,0.231102,52,30,18,4,64,0.62,12,13,99
Washington Capitals,12,0.346341,53,28,16,9,65,0.61,13,12,99
Los Angeles Kings,14,0.213973,52,28,17,7,63,0.61,14,16,96
Vegas Golden Knights,11,0.351351,52,29,19,4,62,0.6,15,14,99
Edmonton Oilers,15,0.081469,51,28,20,3,59,0.58,16,15,96
Dallas Stars,17,0.010771,51,28,20,3,59,0.58,17,17,95
Anaheim Ducks,19,-0.050967,54,25,20,9,59,0.55,18,18,88
Vancouver Canucks,18,-0.011485,53,25,22,6,56,0.53,19,19,87
Columbus Blue Jackets,22,-0.298547,52,27,24,1,55,0.53,20,23,80
Winnipeg Jets,20,-0.078971,52,22,21,9,53,0.51,21,20,86
San Jose Sharks,24,-0.45399,51,23,22,6,52,0.51,22,22,82
Detroit Red Wings,26,-0.702758,52,23,23,6,52,0.5,23,24,79
New York Islanders,23,-0.432912,47,19,20,8,46,0.49,24,21,84
Ottawa Senators,21,-0.296133,50,19,26,5,43,0.43,25,25,79
Chicago Blackhawks,27,-0.753294,53,19,26,8,46,0.43,26,26,76
New Jersey Devils,25,-0.640117,52,18,29,5,41,0.39,27,28,72
Philadelphia Flyers,28,-0.951103,51,15,26,10,40,0.39,28,27,72
Buffalo Sabres,30,-1.062258,53,16,29,8,40,0.38,29,30,60
Seattle Kraken,29,-0.974571,54,16,33,5,37,0.34,30,29,65
Arizona Coyotes,31,-1.296113,52,14,34,4,32,0.31,31,32,55
Montreal Canadiens,32,-1.421655,52,12,33,7,31,0.3,32,31,57
