team,rating
Anaheim Ducks,0.32720861425785625
Arizona Coyotes,-1.6652823679678073
Boston Bruins,0.15798856598975103
Buffalo Sabres,-0.8563698782919255
Calgary Flames,1.0344231148607081
Carolina Hurricanes,1.1610956702881283
Chicago Blackhawks,-0.8851430117213059
Colorado Avalanche,0.9616868325352337
Columbus Blue Jackets,-0.18969952161618361
Dallas Stars,-0.05635498395045343
Detroit Red Wings,-0.7258249383910019
Edmonton Oilers,0.13407493040334395
Florida Panthers,0.721931502468479
Los Angeles Kings,0.15218396821124444
Minnesota Wild,0.534113693137074
Montreal Canadiens,-1.3250544943004194
Nashville Predators,0.3098629556237539
New Jersey Devils,-0.633500866229329
New York Islanders,-0.5690183540858881
New York Rangers,0.37367235718637987
Ottawa Senators,-0.6785646812212379
Philadelphia Flyers,-0.5764051341697846
Pittsburgh Penguins,0.444190164798563
San Jose Sharks,-0.2614752745008366
Seattle Kraken,-0.9526513644767405
St. Louis Blues,0.744157129295099
Tampa Bay Lightning,0.25366935403675916
Toronto Maple Leafs,0.8235652702510743
Vancouver Canucks,-0.19188665166290528
Vegas Golden Knights,0.5282498094301876
Washington Capitals,0.7381406638120415
Winnipeg Jets,0.16701692547003338
