Team,GP,Wins,Losses,OTL,PTS,PTS_Perc
Colorado Avalanche,52,38,10,4,80,0.7692
Carolina Hurricanes,51,36,11,4,76,0.7451
Florida Panthers,52,35,12,5,75,0.7212
Tampa Bay Lightning,50,33,11,6,72,0.7200
New York Rangers,51,33,13,5,71,0.6961
Toronto Maple Leafs,51,33,14,4,70,0.6863
Pittsburgh Penguins,53,31,14,8,70,0.6604
St. Louis Blues,51,31,14,6,68,0.6667
Calgary Flames,50,30,14,6,66,0.6600
Minnesota Wild,49,31,15,3,65,0.6633
Washington Capitals,53,28,16,9,65,0.6132
Boston Bruins,51,30,17,4,64,0.6275
Nashville Predators,52,30,18,4,64,0.6154
Los Angeles Kings,52,28,17,7,63,0.6058
Vegas Golden Knights,52,29,19,4,62,0.5962
Edmonton Oilers,51,28,20,3,59,0.5784
Dallas Stars,51,28,20,3,59,0.5784
Anaheim Ducks,54,25,20,9,59,0.5463
Vancouver Canucks,53,25,22,6,56,0.5283
Columbus Blue Jackets,52,27,24,1,55,0.5288
Winnipeg Jets,52,22,21,9,53,0.5096
San Jose Sharks,51,23,22,6,52,0.5098
Detroit Red Wings,52,23,23,6,52,0.5000
New York Islanders,47,19,20,8,46,0.4894
Chicago Blackhawks,53,19,26,8,46,0.4340
Ottawa Senators,50,19,26,5,43,0.4300
New Jersey Devils,52,18,29,5,41,0.3942
Philadelphia Flyers,51,15,26,10,40,0.3922
Buffalo Sabres,53,16,29,8,40,0.3774
Seattle Kraken,54,16,33,5,37,0.3426
Arizona Coyotes,52,14,34,4,32,0.3077
Montreal Canadiens,52,12,33,7,31,0.2981
