Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Jarred Tinordi,NYR,D,5,62.1667,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.15,11,6,3,0,0,0,2,1,1,0,0,0,1,0,14,3,2,0,0,0.00
Fredrik Claesson,T.B,D,3,32.9000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.03,5,3,1,1,1,0,0,0,0,0,0,0,2,0,4,7,3,0,0,0.00
Josh Leivo,CAR,L,2,12.9000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.08,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00
Sven Baertschi,VGK,L,1,13.8667,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00
Ben Harpur,NSH,D,4,49.6333,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.12,7,4,3,0,0,0,4,2,2,0,0,0,4,0,9,4,7,0,0,0.00
Dillon Heatherington,OTT,D,3,41.5167,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.02,6,3,2,0,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0.00
Brendan Perlini,EDM,L,12,90.4333,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.00,0.46,15,10,8,1,2,0,2,1,1,0,0,0,1,2,16,6,1,0,0,0.00
Caleb Jones,CHI,D,5,69.9667,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.02,6,2,1,0,0,0,0,0,0,0,0,0,2,0,4,9,2,0,0,0.00
Christian Jaros,N.J,D,2,26.4000,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.10,4,4,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0.00
Jalen Chatfield,CAR,D,2,31.0500,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.00,0.36,13,10,4,2,0,4,0,0,0,0,0,0,0,2,7,6,0,0,0,0.00
Joey Anderson,TOR,R,1,12.8667,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.31,5,5,5,3,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0.00
Jacob MacDonald,COL,D,3,23.9667,0,0,0,0,0,0.000,0.000,0.000,0.000,8,0.00,0.77,10,9,9,5,0,3,0,0,0,0,0,1,1,0,4,2,1,0,0,0.00
Chase Priskie,FLA,D,1,10.1833,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.03,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,0,0,0.00
Vinni Lettieri,ANA,C,4,38.7167,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.20,5,3,2,1,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0.00
Scott Reedy,S.J,C,2,18.0167,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.18,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0.00
Robin Salo,NYI,D,4,69.3333,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.04,4,3,1,0,0,0,0,0,0,0,0,0,4,2,2,11,5,0,0,0.00
Erik Brannstrom,OTT,D,2,26.3667,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.00
Wyatt Kalynuk,CHI,D,2,23.8333,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.10,5,3,1,0,1,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0.00
Nicolas Beaudin,CHI,D,1,10.2833,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.09,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.00
Gabriel Fortier,T.B,L,2,17.0000,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.21,6,4,5,1,0,0,0,0,0,0,0,1,0,0,4,4,2,0,0,0.00
John Leonard,S.J,L,5,49.1000,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.00,0.42,11,11,4,1,1,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0.00
Adam Beckman,MIN,L,3,26.5000,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.08,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0.00
Artemi Kniazev,S.J,D,1,11.4000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.10,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00
Cole Perfetti,WPG,C,2,17.8500,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.11,3,3,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0.00
Richard Panik,NYI,R,4,45.4333,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.52,9,7,7,5,0,1,0,0,0,0,0,0,1,0,9,0,2,1,0,100.00
Scott Sabourin,OTT,R,3,19.9000,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.16,5,5,2,0,0,0,2,1,1,0,0,0,2,0,8,3,1,1,0,100.00
Hudson Fasching,ARI,R,7,59.6000,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.43,10,7,6,5,1,0,0,0,0,0,0,0,0,2,10,7,0,1,0,100.00
Kevin Stenlund,CBJ,C,3,22.5833,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.18,4,3,3,1,0,0,2,1,1,0,0,1,0,1,2,2,2,1,0,100.00
Tyce Thompson,N.J,R,2,26.2167,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.23,5,4,5,2,0,0,0,0,0,0,0,1,2,2,2,3,0,1,0,100.00
Vladimir Tkachev,L.A,L,4,44.3833,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.03,2,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,80.00
Mikhail Maltsev,COL,L,3,22.6500,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.17,5,4,4,1,0,0,0,0,0,0,0,0,0,2,3,6,1,3,1,75.00
Connor Bunnaman,PHI,C,3,24.4167,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.21,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,4,0,11,6,64.71
Greg McKegg,NYR,C,8,70.5333,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,0.33,6,5,5,2,1,2,0,0,0,0,0,0,2,0,7,6,5,21,20,51.22
Max Jones,ANA,L,2,17.3333,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.11,3,3,1,0,0,0,0,0,0,0,0,2,2,0,2,1,0,1,1,50.00
Lias Andersson,L.A,C,7,71.3333,0,0,0,0,0,0.000,0.000,0.000,0.000,12,0.00,0.95,14,13,8,6,4,0,0,0,0,0,0,2,4,0,7,4,1,5,5,50.00
Michael McCarron,NSH,R,6,50.8833,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,0.59,6,6,5,4,0,0,5,1,0,1,0,2,2,0,12,11,3,7,9,43.75
Frederik Gauthier,N.J,C,8,65.9667,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.18,5,4,3,1,0,0,0,0,0,0,0,0,3,0,14,7,3,19,29,39.58
Connor Dewar,MIN,C,4,33.7833,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.00,0.46,10,7,7,2,1,1,4,2,2,0,0,1,0,0,6,3,3,7,11,38.89
Andrew Agozzino,OTT,L,1,6.8667,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,33.33
Lane Pederson,S.J,C,12,127.4500,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.00,0.52,13,10,7,2,1,0,6,3,3,0,0,0,3,4,21,21,6,8,17,32.00
Glenn Gawdin,CGY,C,2,18.2000,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.09,4,3,1,0,0,0,2,1,1,0,0,0,1,0,1,1,1,3,8,27.27
Gabriel Vilardi,L.A,C,7,74.5500,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.00,0.31,7,5,4,1,1,0,2,1,1,0,0,0,1,1,0,7,5,9,28,24.32
Cody Glass,NSH,C,2,17.6833,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.16,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,11.11
Austin Watson,OTT,L,8,70.0500,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.00,0.24,9,7,3,2,0,1,11,4,3,1,0,3,3,0,18,4,14,0,2,0.00
Kyle Rau,MIN,C,3,25.5000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.04,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0.00
Chase DeLeo,N.J,C,2,16.3000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.32,5,4,4,2,1,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0.00
Max Willman,PHI,C,7,74.4833,0,0,0,0,0,0.000,0.000,0.000,0.000,9,0.00,0.39,13,10,3,2,0,0,2,1,1,0,0,0,1,4,8,15,1,0,5,0.00
Marian Studenic,N.J,R,5,47.0000,0,0,0,0,0,0.000,0.000,0.000,0.000,7,0.00,0.49,11,9,5,2,1,0,0,0,0,0,0,0,1,3,3,8,2,0,2,0.00
Jan Jenik,ARI,R,2,10.6000,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.00,0.09,4,2,1,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,5,0.00
Markus Nutivaara,FLA,D,1,6.8500,0,1,1,0,1,0.000,8.759,8.759,100.00,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.00
Calen Addison,MIN,D,3,37.3333,1,0,0,0,1,1.607,0.000,1.607,100.00,3,33.33,0.30,9,6,5,0,0,1,0,0,0,0,0,0,0,0,6,5,1,0,0,0.00
Ryan Ellis,PHI,D,4,68.2500,1,1,1,0,2,0.879,0.879,1.758,100.00,5,20.00,0.20,11,7,3,0,0,0,0,0,0,0,0,0,5,2,1,4,6,0,0,0.00
Justin Danforth,CBJ,R,5,47.1500,1,0,0,0,1,1.273,0.000,1.273,100.00,10,10.00,1.13,14,12,9,7,0,1,0,0,0,0,0,0,0,0,17,5,2,0,0,0.00
Karson Kuhlman,BOS,C,14,143.9167,1,1,0,1,2,0.417,0.417,0.834,100.00,17,5.88,1.72,29,22,19,8,0,4,0,0,0,0,0,3,3,5,27,16,5,0,0,0.00
