player,team,pos,gp,toi,cf,ca,cf_perc,ff,fa,ff_perc,sf,sa,sf_perc,gf,ga,gf_perc,xgf,xga,xgf_perc,goals,total_assists,primary_assist,secondary_assist,total_points,goals_per_60,assists_per_60,pts_per_60,shooting_perc,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits
Aaron Ekblad,FLA,D,23,411.5500,427,314,57.62,331,224,59.64,244,177,57.96,28,11,71.79,19.39,14.54,57.15,5,9,4,5,14,0.729,1.312,2.041,9.62,2.34,81,68,27,10,2,8,8,4,4,0,0,2,18,11,18
Adam Beckman,MIN,L,3,26.5000,27,31,46.55,19,23,45.24,18,18,50.00,0,2,0.00,0.96,1.12,46.13,0,0,0,0,0,0.000,0.000,0.000,0.00,0.08,5,4,0,0,0,1,0,0,0,0,0,0,1,0,1
Adam Boqvist,CBJ,D,14,195.0500,192,183,51.20,147,138,51.58,107,99,51.94,9,9,50.00,8.10,7.42,52.18,3,1,1,0,4,0.923,0.308,1.230,18.75,1.31,31,21,13,4,2,2,0,0,0,0,0,4,6,3,5
Adam Brooks,"MTL, VGK",C,7,70.0333,68,47,59.13,51,36,58.62,38,25,60.32,2,2,50.00,3.19,2.17,59.51,1,1,1,0,2,0.857,0.857,1.713,33.33,0.67,4,4,4,3,0,0,0,0,0,0,0,0,1,2,7
Adam Erne,DET,L,23,284.2667,221,290,43.25,170,204,45.45,120,155,43.64,7,11,38.89,10.69,10.97,49.35,2,2,2,0,4,0.422,0.422,0.844,6.45,2.44,52,42,33,11,0,4,0,0,0,0,0,3,10,9,60
Adam Fox,NYR,D,21,373.1000,327,348,48.44,251,244,50.71,176,164,51.76,18,10,64.29,15.72,14.23,52.50,3,9,3,6,12,0.482,1.447,1.930,10.71,1.04,49,37,19,1,0,4,10,5,5,0,0,4,11,20,7
Adam Gaudette,"CHI, OTT",C,9,79.3667,51,76,40.16,33,59,35.87,21,47,30.88,1,5,16.67,1.54,3.53,30.31,0,1,0,1,1,0.000,0.756,0.756,0.00,0.54,18,11,13,1,0,1,4,2,2,0,0,3,3,2,8
Adam Henrique,ANA,C,23,317.8000,334,288,53.70,244,220,52.59,183,154,54.30,15,12,55.56,15.78,12.97,54.88,3,6,3,3,9,0.566,1.133,1.699,5.88,5.65,86,70,59,38,6,9,2,1,1,0,0,3,9,8,9
Adam Larsson,SEA,D,23,429.7667,325,345,48.51,240,267,47.34,169,196,46.30,14,28,33.33,12.84,16.07,44.40,1,3,2,1,4,0.140,0.419,0.558,3.70,0.84,70,46,15,0,0,3,14,7,7,0,0,2,7,3,51
Adam Lowry,WPG,C,22,271.7667,252,228,52.50,179,172,51.00,128,120,51.61,4,7,36.36,10.08,8.82,53.34,2,1,1,0,3,0.442,0.221,0.662,9.09,2.91,41,30,26,15,1,3,0,0,0,0,0,6,7,8,59
