player,team,pos,gp,toi,goals,total_assists,primary_assist,secondary_assist,total_points,goals_per_60,assists_per_60,pts_per_60,ipp_shots,shooting_perc,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_perc
Aaron Ekblad,FLA,D,56,975.2330,8,11,5,6,19,0.492,0.677,1.169,41.30,8.00,4.44,183,138,56,14,4,11,25,11,10,1,0,8,30,18,38,59,32,0,0,0.00
Adam Henrique,ANA,C,66,858.0170,13,13,8,5,26,0.909,0.909,1.818,66.67,12.38,10.67,180,142,117,63,8,16,13,5,4,1,0,3,25,17,45,40,44,254,215,54.16
Adam Lowry,WPG,C,73,877.0670,11,13,7,6,24,0.753,0.889,1.642,80.00,12.94,8.40,149,113,95,40,1,7,13,5,4,1,0,12,15,20,203,107,31,371,329,53.00
Adam Pelech,NYI,D,69,1223.9830,3,11,5,6,14,0.147,0.539,0.686,25.45,3.75,3.66,180,120,43,8,1,9,16,8,8,0,0,7,45,29,82,117,68,0,0,0.00
Alex Chiasson,"EDM, VAN",R,62,536.6330,4,6,2,4,10,0.447,0.671,1.118,66.67,8.89,3.97,75,59,46,15,3,5,20,7,5,2,0,5,12,13,59,63,9,2,3,40.00
Alex Formenton,OTT,L,36,373.1330,5,3,1,2,8,0.804,0.482,1.286,66.67,11.90,3.23,62,49,41,19,2,2,17,7,6,1,0,7,8,15,49,23,7,1,1,50.00
Alex Killorn,T.B,L,76,945.4170,13,19,10,9,32,0.825,1.206,2.031,74.42,12.62,8.92,185,147,112,41,4,6,34,17,17,0,0,15,13,17,67,62,11,0,2,0.00
Alex Pietrangelo,VGK,D,62,1148.0670,8,14,6,8,22,0.418,0.732,1.150,34.92,5.71,5.79,282,198,83,11,5,16,10,5,5,0,0,5,25,43,41,128,101,0,0,0.00
Alexander Kerfoot,TOR,C,79,957.3170,10,20,12,8,30,0.627,1.254,1.880,71.43,11.24,7.88,145,117,99,42,3,3,14,7,7,0,0,10,33,20,53,148,38,117,165,41.49
Alexandre Carrier,NSH,D,37,608.4330,2,4,3,1,6,0.197,0.394,0.592,31.58,4.35,2.68,106,70,28,7,2,7,12,6,6,0,0,5,16,20,27,64,38,0,0,0.00
Alexis Lafrenière,NYR,L,76,910.4500,16,10,6,4,26,1.054,0.659,1.713,68.42,19.28,8.30,138,113,85,42,3,6,10,5,5,0,0,9,16,19,75,79,18,16,25,39.02
