player,gp,g,a,pts,team,pos,toi,cf,ca,cf_perc,ff,fa,ff_perc,sf,sa,sf_perc,gf,ga,gf_perc,xgf,xga,xgf_perc,scf,sca,scf_perc,hdcf,hdca,hdcf_perc,hdgf,hdga,hdgf_perc,mdcf,mdca,mdcf_perc,mdgf,mdga,mdgf_perc,ldcf,ldcf_perc,ldgf,ldga,ldgf_perc,oicesh_perc,oicesv_perc,pdo
Aaron Ekblad,56,17,22,39,FLA,D,975.2333,914,744,55.13,706,561,55.72,525,419,55.61,46,28,62.16,39.17,32.20,54.89,447,371,54.65,167,147,53.18,23,22,51.11,280,224,55.56,13,4,76.47,420,324,10,2,83.33,8.76,93.32,1.021
Adam Henrique,66,18,18,36,ANA,C,858.0167,830,780,51.55,594,605,49.54,431,438,49.60,39,37,51.32,35.42,36.03,49.57,411,373,52.42,174,150,53.70,22,26,45.83,237,223,51.52,13,9,59.09,342,366,4,2,66.67,9.05,91.55,1.006
Adam Lowry,73,12,16,28,WPG,C,877.0667,751,796,48.55,551,605,47.66,384,425,47.47,30,29,50.85,28.29,32.86,46.27,335,372,47.38,129,160,44.64,18,14,56.25,206,212,49.28,11,9,55.00,350,369,1,5,16.67,7.81,93.18,1.010
Adam Pelech,69,4,12,16,NYI,D,1223.9833,1094,1035,51.39,835,757,52.45,626,543,53.55,55,38,59.14,49.21,36.20,57.62,583,469,55.42,246,162,60.29,37,23,61.67,337,307,52.33,10,7,58.82,447,501,8,8,50.00,8.79,93.00,1.018
Alex Chiasson,62,11,10,21,"EDM, VAN",R,536.6333,410,519,44.13,299,377,44.23,220,277,44.27,15,23,39.47,13.77,19.27,41.68,170,236,41.87,54,84,39.13,6,13,31.58,116,152,43.28,5,9,35.71,206,251,3,1,75.00,6.82,91.70,0.985
Alex Formenton,36,6,3,9,OTT,L,373.1333,286,381,42.88,214,275,43.76,156,196,44.32,12,16,42.86,11.23,14.58,43.50,151,168,47.34,53,66,44.54,7,6,53.85,98,102,49.00,3,5,37.50,120,183,2,5,28.57,7.69,91.84,0.995
Alex Killorn,76,23,28,51,T.B,L,945.4167,863,766,52.98,663,608,52.16,480,463,50.90,43,39,52.44,33.01,32.69,50.24,405,392,50.82,146,158,48.03,26,24,52.00,259,234,52.54,7,12,36.84,404,335,10,3,76.92,8.96,91.58,1.005
Alex Pietrangelo,62,11,24,35,VGK,D,1148.0667,1179,1104,51.64,861,801,51.81,639,582,52.33,63,51,55.26,48.92,51.30,48.82,581,573,50.35,231,236,49.46,36,30,54.55,350,337,50.95,18,14,56.25,497,441,8,7,53.33,9.86,91.24,1.011
Alexander Kerfoot,79,12,25,37,TOR,C,957.3167,818,835,49.49,609,628,49.23,436,443,49.60,42,33,56.00,33.18,33.44,49.81,410,418,49.52,146,158,48.03,22,20,52.38,264,260,50.38,16,10,61.54,367,361,4,3,57.14,9.63,92.55,1.022
Alexandre Carrier,37,3,7,10,NSH,D,608.4333,536,547,49.49,407,414,49.57,284,301,48.55,19,15,55.88,21.22,19.84,51.68,241,249,49.18,95,73,56.55,13,7,65.00,146,176,45.34,4,6,40.00,261,263,2,2,50.00,6.69,95.02,1.017
